"height";"weight"
68.5166834855604;154.681763861273
65.3186507959108;173.958957660404
62.0789448822327;138.211660043739
64.8491663241866;165.020083309111
70.1389452245124;148.630607472854
67.3137063327876;196.627466047489
71.1540826175901;166.716920834635
70.5536597220418;160.241153379148
66.5429335000048;163.090865331244
71.3975407980819;177.233519910125
70.5639337292913;165.416325935861
69.3113280890755;181.964288167417
67.9177312909373;179.556668337909
63.059546629368;173.979254730362
72.3002195889384;143.590147333524
66.7141092730301;148.428770710748
61.9437622259658;161.445342252566
63.0714659190278;160.80628037316
68.8434642213874;184.865520825326
65.4780280499535;169.303901491078
